City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,majene,-3.5403,118.9707,76.8,87,100,2.89,ID,1744217055
123,puerto ayora,-0.7393,-90.3518,83.55,91,62,7.0,EC,1744216985
124,touros,-5.1989,-35.4608,87.62,58,95,12.91,BR,1744216992
125,iskateley,67.6803,53.1512,26.44,95,100,14.29,RU,1744216990
126,mstsislaw,54.0192,31.7257,32.67,77,100,16.49,BY,1744217055
127,bereznik,62.8551,42.7072,26.26,96,100,4.88,RU,1744217055
128,constantia,44.1833,28.65,45.7,62,98,6.55,RO,1744217016
129,wailua homesteads,22.0669,-159.378,72.39,89,75,19.57,US,1744216998
130,saipan,15.1355,145.701,75.9,88,0,0.0,MP,1744216984
131,rio grande,-32.035,-52.0986,72.48,91,67,19.06,BR,1744216979
132,jamestown,42.097,-79.2353,40.01,50,40,9.22,US,1744216911
133,san pedro pochutla,15.7333,-96.4667,91.71,45,81,7.56,MX,1744217056
134,mataram,-8.5833,116.1167,80.04,85,100,6.55,ID,1744217056
135,ismayilli,40.779,48.1638,58.08,70,92,3.42,AZ,1744217056
136,maumere,-8.6199,122.2111,79.18,85,61,4.0,ID,1744217007
137,eyl,7.9803,49.8164,82.02,68,6,12.5,SO,1744217057
138,ola,59.5833,151.2833,30.6,92,100,2.95,RU,1744216985
139,khandyga,62.6667,135.6,19.36,94,100,4.29,RU,1744217057
140,kapuskasing,49.4169,-82.4331,28.49,34,20,10.36,CA,1744217057
141,lompoc,34.6391,-120.4579,59.41,87,0,5.75,US,1744217000
142,ust-nera,64.5667,143.2,13.71,94,65,4.56,RU,1744216989
143,rockland,41.1668,-74.0496,43.74,39,1,5.01,US,1744217057
144,port elizabeth,-33.918,25.5701,65.32,99,100,14.97,ZA,1744216995
145,la'ie,21.6477,-157.9253,71.56,91,39,4.0,US,1744217029
146,victoria point,-27.5833,153.3,64.36,90,40,7.34,AU,1744217057
147,ponta delgada,37.7333,-25.6667,65.19,77,75,17.27,PT,1744217009
148,cabo san lucas,22.8909,-109.9124,77.31,53,0,4.0,MX,1744216999
149,aykhal,66.0,111.5,-5.49,100,99,4.34,RU,1744217002
150,zeya,53.75,127.2667,24.46,98,63,2.68,RU,1744217058
151,keflavik,64.0049,-22.5624,48.63,100,100,20.71,IS,1744217011
152,villamontes,-21.25,-63.5,76.44,61,75,0.0,BO,1744217058
153,taltal,-25.4,-70.4833,66.52,72,47,4.56,CL,1744217058
154,pedregal,8.3667,-82.4333,89.69,55,20,4.61,PA,1744217058
155,georgetown,5.4112,100.3354,80.53,83,20,2.3,MY,1744216894
156,kailua-kona,19.6406,-155.9956,71.56,79,20,10.36,US,1744217003
157,punta arenas,-53.15,-70.9167,53.71,76,0,8.05,CL,1744216987
158,codrington,-38.2667,141.9667,56.71,59,94,9.48,AU,1744216994
159,atafu village,-8.5421,-172.5159,80.38,79,100,7.47,TK,1744217005
160,hobyo,5.3505,48.5268,83.07,67,3,13.78,SO,1744217012
161,ribeira brava,32.65,-17.0667,69.01,71,69,4.36,PT,1744217059
162,kalianget,-7.05,113.9333,80.44,80,57,0.65,ID,1744217059
163,fale old settlement,-9.3852,-171.2468,82.42,70,100,3.24,TK,1744217059
164,margaret river,-33.95,115.0667,62.98,78,61,5.44,AU,1744216992
165,east london,-33.0153,27.9116,70.74,78,0,17.27,ZA,1744216997
166,suntar,62.1444,117.6319,-1.35,99,43,2.82,RU,1744216837
167,nakhon sawan,15.7,100.0833,82.72,70,100,2.1,TH,1744217060
168,hilo,19.7297,-155.09,69.12,95,40,6.91,US,1744216767
169,hamilton,39.1834,-84.5333,47.93,45,75,10.36,US,1744216992
170,signal mountain,35.1226,-85.3438,56.62,44,5,3.0,US,1744217060
171,luderitz,-26.6481,15.1594,68.41,66,0,12.41,NA,1744216999
172,ternate,0.8,127.4,80.11,79,98,2.04,ID,1744217061
173,olyokminsk,60.3736,120.4264,15.6,95,81,3.11,RU,1744217061
174,tagta,41.6504,59.9164,73.35,38,100,11.5,TM,1744217061
175,grand falls-windsor,48.9332,-55.6649,36.5,67,100,8.01,CA,1744217009
176,quellon,-43.1167,-73.6167,56.55,75,97,12.53,CL,1744216959
177,hami,42.8,93.45,61.74,27,22,14.09,CN,1744217061
178,robore,-18.3333,-59.75,80.69,69,40,0.0,BO,1744217061
179,port augusta,-32.5,137.7667,65.52,44,11,4.45,AU,1744217061
180,puerto deseado,-47.7503,-65.8938,64.04,59,80,29.44,AR,1744217062
181,puerto baquerizo moreno,-0.9,-89.6,80.24,79,84,4.16,EC,1744217020
182,freetown,8.484,-13.2299,85.71,70,20,17.27,SL,1744217062
183,sao tome,0.3365,6.7273,82.31,80,64,8.34,ST,1744217062
184,carnarvon,-24.8667,113.6333,77.59,66,0,24.43,AU,1744217011
185,coahuayana de hidalgo,18.7,-103.6583,88.92,30,0,6.49,MX,1744216988
186,hotan,37.0997,79.9269,69.19,17,100,1.52,CN,1744217026
187,hawaiian paradise park,19.5933,-154.9731,68.9,98,40,6.91,US,1744216993
188,namdrik,5.5994,168.1028,81.66,81,22,17.29,MH,1744217015
189,tchintabaraden,15.8969,5.7985,101.46,6,3,4.92,NE,1744217062
190,pangoa,-12.1167,-73.0,85.51,51,92,4.05,PE,1744217063
191,qaqortoq,60.7167,-46.0333,32.43,78,51,3.58,GL,1744217000
192,ray,23.6833,85.05,87.24,29,92,10.47,IN,1744217063
193,batticaloa,7.7102,81.6924,79.74,84,88,3.42,LK,1744217063
194,piritiba,-11.7303,-40.5553,89.96,37,50,6.49,BR,1744217063
195,onguday,50.75,86.15,42.1,91,87,1.45,RU,1744217063
196,kununurra,-15.7667,128.7333,76.98,94,100,0.0,AU,1744216980
197,dul'durga,50.6761,113.5931,36.03,57,53,11.63,RU,1744217063
198,usogorsk,63.4106,48.6872,28.63,88,63,8.9,RU,1744217063
199,laojunmiao,39.8333,97.7333,49.1,24,83,8.39,CN,1744217064
200,nenjiang,49.1833,125.2167,44.08,50,95,10.49,CN,1744217064
201,klyuchi,52.2667,79.1667,47.39,72,7,5.44,RU,1744217014
202,tura,25.5198,90.2201,77.14,49,41,3.8,IN,1744216802
203,pangkalanbuun,-2.6833,111.6167,74.3,91,100,1.72,ID,1744217064
204,utrik,11.2278,169.8474,80.55,81,9,18.41,MH,1744216989
205,sola,-13.8833,167.55,83.59,74,31,7.72,VU,1744217065
206,san antonio de pale,-1.4014,5.6325,81.68,74,76,10.11,GQ,1744216980
207,ancud,-41.8697,-73.8203,58.03,66,100,3.8,CL,1744216959
208,buchanan,5.8808,-10.0467,83.73,74,98,8.97,LR,1744217065
209,zheleznogorsk,52.331,35.3711,32.02,63,97,6.73,RU,1744217065
210,weno,7.4515,151.8468,82.71,78,27,13.47,FM,1744217019
211,evanston,42.0411,-87.6901,42.26,62,100,10.36,US,1744216941
212,puerto madero,14.7208,-92.4215,88.0,62,75,9.22,MX,1744217065
213,boromo,11.75,-2.9333,105.22,15,94,3.56,BF,1744217065
214,lihue,21.9789,-159.3672,72.99,68,75,19.57,US,1744216997
215,karatau,43.1667,70.4667,58.26,51,100,3.51,KZ,1744217066
216,high rock,26.6208,-78.2833,73.29,75,90,12.37,BS,1744217066
217,kodinar,20.7903,70.7031,82.53,58,0,17.31,IN,1744217066
218,pitanga,-24.7572,-51.7614,74.84,61,93,7.0,BR,1744217066
219,nepanagar,21.4667,76.4,94.39,11,0,2.91,IN,1744217066
