City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
168,bonnyville,54.27,-110.73,41.0,65,75,10.29,CA,1607448123
169,ust-karsk,52.7,118.81,6.82,90,67,3.74,RU,1607448123
170,spasskoye,44.61,132.8,11.62,91,0,5.35,RU,1607448123
171,kuusamo,65.97,29.18,24.8,79,90,9.17,FI,1607448123
172,edson,53.58,-116.44,33.8,100,75,4.7,CA,1607448123
173,muros,42.78,-9.06,50.0,80,66,1.01,ES,1607448123
174,birjand,32.87,59.22,35.6,80,0,6.93,IR,1607448124
175,mahajanga,-15.72,46.32,84.2,70,20,13.87,MG,1607448124
176,oistins,13.07,-59.53,86.0,55,20,11.41,BB,1607447889
177,klaksvik,62.23,-6.59,41.0,93,95,9.17,FO,1607448124
178,sibolga,1.74,98.78,77.77,82,100,3.49,ID,1607447535
179,casma,-41.01,-73.12,64.4,55,75,11.41,CL,1607448124
180,victoria,22.29,114.16,66.99,69,52,1.01,HK,1607448124
181,kamaishi,39.27,141.88,35.78,80,3,5.7,JP,1607448125
182,omsukchan,62.53,155.8,-7.83,88,98,0.76,RU,1607448125
183,norman wells,65.28,-126.83,-16.6,82,40,2.71,CA,1607448125
184,wanning,18.8,110.4,64.87,77,53,9.64,CN,1607448125
185,deputatskiy,69.3,139.9,-25.01,87,98,6.06,RU,1607448125
186,mkushi,-13.62,29.39,67.1,90,95,4.41,ZM,1607448125
187,blagoyevo,63.37,47.92,17.89,96,13,6.58,RU,1607448126
188,bengkulu,-3.8,102.27,75.29,89,99,5.53,ID,1607448126
189,cayenne,4.93,-52.33,78.8,88,75,6.93,GF,1607448120
190,kendallville,41.44,-85.27,34.0,80,47,8.05,US,1607448126
191,guaiuba,-4.04,-38.64,87.8,52,0,21.92,BR,1607447967
192,harper,4.38,-7.72,81.72,77,27,7.43,LR,1607448126
193,swan hill,-35.34,143.55,55.04,65,0,5.41,AU,1607448126
194,souillac,-20.52,57.52,77.0,83,75,16.11,MU,1607448126
195,bratsk,56.13,101.61,15.8,85,98,8.95,RU,1607448127
196,sambava,-14.27,50.17,77.61,82,48,5.53,MG,1607448127
197,vestmannaeyjar,63.44,-20.27,39.2,86,90,23.04,IS,1607448127
198,kambia,9.12,-12.92,86.7,64,22,5.68,SL,1607448127
199,lagoa,39.05,-27.98,61.5,75,99,18.75,PT,1607448127
200,kargopol,61.51,38.95,18.88,93,85,6.38,RU,1607448127
201,japura,-0.32,102.35,75.42,96,93,2.89,ID,1607448128
202,nuuk,64.18,-51.72,21.2,57,20,9.17,GL,1607447987
203,eregli,37.51,34.05,48.29,71,99,1.43,TR,1607448128
204,zinder,13.81,8.99,91.4,18,0,6.93,NE,1607448128
205,mandalgovi,45.76,106.27,0.73,81,0,12.55,MN,1607448128
206,chernyshevskiy,63.01,112.47,-19.66,89,100,6.35,RU,1607448129
207,sarti,40.1,23.98,56.28,70,33,5.32,GR,1607448129
208,san patricio,28.02,-97.52,69.01,51,75,4.7,US,1607448129
209,faya,18.39,42.45,64.4,72,0,8.25,SA,1607448129
210,necochea,-38.55,-58.74,86.0,24,34,8.61,AR,1607448129
211,churapcha,62.0,132.43,-25.85,86,60,4.63,RU,1607448129
212,tyukhtet,56.54,89.3,8.85,95,100,10.16,RU,1607448129
213,yerbogachen,61.28,108.01,0.61,93,100,1.05,RU,1607448129
214,lishu,43.3,124.33,12.88,88,10,6.78,CN,1607448130
215,podgornoye,51.73,39.15,24.8,58,0,6.71,RU,1607448130
216,roma,43.21,-75.46,28.0,73,90,8.05,US,1607447542
217,segezha,63.74,34.32,27.18,94,48,10.83,RU,1607447942
218,ancud,-41.87,-73.82,61.0,72,75,12.75,CL,1607448130
219,vila,42.03,-8.16,41.0,88,52,5.01,PT,1607448130
220,hay river,60.82,-115.8,8.6,92,2,4.7,CA,1607448130
221,buchanan,5.88,-10.05,73.4,100,75,4.7,LR,1607448131
222,leningradskiy,69.38,178.42,3.96,86,36,5.5,RU,1607448131
223,gannan,47.91,123.5,9.95,81,0,4.32,CN,1607448131
224,grand gaube,-20.01,57.66,78.01,76,11,5.99,MU,1607448131
225,llangefni,53.26,-4.31,48.2,75,75,24.16,GB,1607448131
226,airai,-8.93,125.41,62.78,100,100,2.08,TL,1607448131
227,bako,5.78,36.57,69.44,61,44,4.0,ET,1607448132
228,ahipara,-35.17,173.17,64.76,94,24,8.32,NZ,1607448132
229,kemalpasa,38.43,27.42,59.0,100,40,2.73,TR,1607448132
230,ossipee,43.69,-71.12,30.99,71,86,1.01,US,1607448013
231,guerrero negro,27.98,-114.06,68.4,31,0,10.4,MX,1607448132
232,gravdal,68.12,13.5,39.2,86,75,5.82,NO,1607448132
233,priyutnoye,46.1,43.51,25.77,89,0,18.07,RU,1607448132
